Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall
Wall,20,,-20,,-20,,Wall,,,,,,,,,,,,,,,-1,,-1,,-1,,-30,,30,Wall
Wall,,,,,,,Wall,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,-2,,-20,,-20,,Wall,,,,,,,,,,,,,,,-1,,-1,,-1,,-1,,-1,Wall
Wall,,,,,,,Wall,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,Wall,,,,,,,,-20,,,,,,,-1,,-1,,-1,,-1,,-1,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,Player1,Player2,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,Wall,Wall,Wall,Wall,Wall,Wall,,,,,,,,,,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,-20,,-20,,-20,,-20,,-20,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,-20,,-20,,-20,,-10,,-20,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,-20,,-20,,-20,,-10,,-20,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,-20,,-20,,-20,,-10,,100,Wall
Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall
