Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,Player1,,,,-4,,,,,,-5,,,,,,,,,,,,-7,,,,,,100,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wall
Wall,,-1,,Wall,Wall,Wall,Wall,Wall,,,Wall,,,,,,,,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall
Wall,,,,Wall,,,,,,,Wall,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,Wall,,,,,,,Wall,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,Wall,1,,,,,,Wall,,,,,,,,,,,,,,,,,,,,Wall
Wall,,-1,,Wall,,,,,,,Wall,,,,,,,,,,,,,,,,,,,,Wall
Wall,,,,Wall,,,,,,,Wall,,,,Wall,Wall,Wall,Wall,,,,,,,,,,,,,Wall
Wall,,,,Wall,Wall,Wall,Wall,Wall,,,Wall,,,,Wall,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,Wall,,,Wall,,-2,,Wall,,,,,,,,,,,,,,,,Wall
Wall,,,,,,2,,Wall,,,Wall,,,,Wall,1,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,Wall,,,Wall,,3,,Wall,,,,,,,,,,,,,,,,Wall
Wall,,,,,,,,Wall,,,Wall,,,,Wall,,,,,,,,,,,,,,,,Wall
Wall,,,,Wall,Wall,Wall,Wall,Wall,,,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,,-1,,,,,,,,,,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,Wall,Wall,Wall,Wall,Wall,Wall,Wall,,,Wall
Wall,,-2,,,-1,,,,,,,,,,,,,,,,,Wall,5,,,,,,-1,,Wall
Wall,,,,,,,,,,,,,,,,,,,,,,Wall,,,,,,,,,Wall
Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall
